tweet_preprocessed,NETRAL,MENGUATKAN,MELEMAHKAN
kompascom pegawai kpk kompeten minim wawasan kebangsaan diganti pegawai lebih kompeten ko kalian gak setuju rasa nasionalisme penting miliki pegawai pemerintah indikasi nya twk,0.0,1.0,0.0
febridiansyah kpkri woi mreka tidak lolos twk lha mmg kok kenyatannya mrk tidak lolos tes wawasan kebangsaan hampir smua yang tidak lolos trsebut dkenal amp dkenang brpretasi dlm lomba mmberantas korupsi amp sayangnya mrk tidak punya catatan prestasi dlm lomba bykkan tweet yang dkomentari,0.0,0.0,1.0
nazaqistsha berlebihan wakil ketua dpr tetep ketangkep kpk memangnya nopel doang yang kerja,0.0,1.0,0.0
dewas harapkan putusan mk buat kpk semakin kuat,0.0,0.0,1.0
isu pelemahan kpk relevan,0.0,1.0,0.0
koordinator penggerak milenial indonesia pmi m adhiya muzakki mengapresiasi upaya presiden jokowi kopolri bermaksud merekrut pegawai kpk tidak lulustes wawasan kebangsaan twk kpk masuk menjadi asn polri sumber,0.0,0.0,1.0
fahrihamzah kpkri kejaksaanri itukan perbandingan kejaksaan kpk gak seimbang baik petugas luas cakupan wilayah yang ditangani jadi naif kalau dibandingkanbelum imfact revisi uu kpk kinerja ketua kpk yang selarang,0.0,0.0,1.0
kepergian kuat dugaan karena intervensi politik dendam karier jenpol pecah tangis pegawai aktif kpk lepas kepergian novel baswedan dan kawan-kawan,0.0,0.0,1.0
ada pelemahan kpk tes twk terbukti pegawai lulus tes twk memiliki integritas jiwa nasionalisme tinggi,0.0,0.0,1.0
badan eksekutif mahasiswa seluruh indonesia bem si menyikapi pemecatan anggota kpk tidak lolos tes wawasan kebangsaan twk bentuk solidaritas melakukan aksi protes kawasan titik nol kilometer kamis sore,0.0,1.0,0.0
abul maspiyuaja ente gobloklah kalau ga mengerti masalah internal ga perlu orang paling tahu ente simpatisan orang pecatan kpk makin kuat mereka yang dipecat,0.0,1.0,0.0
serba salah pegawai kpk yang bertugas tetap berkinerja baik dg hasilkan penangkapan koruptor yang pujian buzzer pimpinannya mengendorkan kinerja senang koruptor mereka yang kpk lemah memang canggih sutradaranya ini,1.0,0.0,0.0
marlinaidha kalau ada lomba tes wawasan kebangsaanmungkin pak anies juara satu pak anies pernah marah tetngga sebelah yang menguasai twk,0.0,0.0,1.0
erasmus thedufresne mungkin terkait sikap terhadap revisi uu kpk pimpinan terpilih in my humble opinion,0.0,0.0,1.0
ferdinandhaean kpkri od ga nyampe otaknyliat dong statment jokowi sebelomny soal penguatan kpkmencla mencle kaya loooto,1.0,0.0,0.0
ferdinandhaean kpkri dprri tu orang kelihatan banget kalau cuma bicara doang,0.0,1.0,0.0
suryadigatot tofatofaid negara mengganyang bangke komunis pki skrg negara sedang mengganyang bahaya laten hti dengan khilafahnya sudah benar jalannya negara membubarkan hti skrg waktunya ganyang khilafah dengan organisasi bentuknya dimulai tes wawasan kebangsaan,0.0,1.0,0.0
kpkri bubar saja kpkgk da gunanya lagi,0.0,1.0,0.0
melihat mantan pegawai kpk mau direkrut polri jadi curiga power berbeda sbnrnya atas polri sama kpk tahu polri deket banget sama jokowi pdip kpk kemarin baru saja ciduk menteri dari pdip gk mau dengerin kata presiden,0.0,1.0,0.0
dennysiregar kpkri memeluk seraya berbisik mengucapkan permohonan maaf menyampaikan salam permohonan maaf pak nb katanya apa dengan pesan semua slm yang melaporkan balik adalah pak yp amp nb si nb emang kuat banget posisinya dulu,1.0,0.0,0.0
tomcruzz kpkri seakan yang paling jago negeri twk saja g lulus sok jago,1.0,0.0,0.0
oktadiantama posindo beacukaiindo kpkri jokowi biaya yang bayar termasuk ongkos kirim idr rb,0.0,0.0,1.0
semenjak demo mahasiswa soal revisi uu kpk kemarin saya jadi kurang yakin sama demo yang sekarang,0.0,0.0,1.0
matanetz raja dennysiregar kpkri yang mksut or gk toleransi apa cobk terangkan tk semae,0.0,0.0,1.0
pnjljhid betuljadi blunder twk kpk upaya penyingkiran mrk kok negara jadi lemah syahwat begini padahal didiemin saja lama mrk juga capek sendiri bikin gaduh terus,1.0,0.0,0.0
ferdinandhaean kpkri dprri mimpi siang bolong,0.0,1.0,0.0
ismeiwa candraasmara nazaqistsha orang jadi serba kagok sudah merasa kuat kpk lantas keluar dr polri giliran temannya yang diberi peluang tinggal sendiri tersia,0.0,1.0,0.0
hari gstwk orang pegawai kpk gagal ujian twk dipecat firli bahuri memang layak dipecat layak asn manapun bukan di kpk wawasan kebangsaan adalah harga mati kpkri kanalkpk,0.0,0.0,1.0
indonesia dalam cengkraman oligarki undangundang cipta kerja revisi undangundang minerba revisi undangundang kpk beberapa ruuuu kontroversial lainya sejak tahun banyak ditentang rakyat pasalnya produk hukum tersebut berpihak rakyat,0.0,0.0,1.0
novel baswedan sedih hak berjuang antikorupsi dibajak dibajak membuat kpk lemah pemberantasan korupsi mati sedih saya bisa apaapa pemerintah diam membuat wibawa hukum jatuh temponasional,0.0,0.0,1.0
rismawidiono kurangnya pengetahuan wawasan kebangsaan hingga lulus tes inikah yang dinamakan zalim gobloook saja yang mus,1.0,0.0,0.0
ferdinandhaean kpkri dprri,0.0,1.0,0.0
aadec opajoedequeen wongkalibanteng pengarangsajak sabar bostunggu tanggal maennyawaktu yang membuktikanpermaenan catur pak adik sangat halus tapi diem menyakit kanskrg sdg biarkan berpesta pada wktu nama tinggal kenangansblm pilpres nama nya akan tenggelamsabaar ikuti saja arahan jokowi banget juga kpk,1.0,0.0,0.0
ferdinandhaean kpkri dprri haluuu,1.0,0.0,0.0
salam pejuang anti korupsi tolak bala bencana kpk ayo terlibat agenda tolak bala bencana kpk sikap politik menentang pelemahan kpk pengangan korupsi indonesia wearebrown wearegardatipikor pejuangantikorupsi,1.0,0.0,0.0
jesusroie egoistic,0.0,1.0,0.0
mohmahfudmd kesannya kuat justru konflik pribadi pimpinan amp pegawai pdhll pimpinan kpk sifatnya politis ganti kapan pegawai yang tidak melanggar etik amp aturan baku lainnya semestinya tidak bisa merta diberhentikan mungkin angkat jadi asn dl institusi awal barulah sk pemindahan,1.0,0.0,0.0
ferdinandhaean kpkri dprri maklum kader mersi pamer ketololan,1.0,0.0,0.0
ferdinandhaean kpkri dprri gus kirain gus ono saja yang suka rada rada eh gus juga,0.0,1.0,0.0
mudasirromini bungfrankz dennysiregar kpkri jokowi divhumaspolri nazaqistsha betulkah nazaqistsha yang memecat satuan pengamanan tersebut,1.0,0.0,0.0
brt kpk nayapakistan,1.0,0.0,0.0
lantas apa kata terkait serangan dadakan pegawai kpk bentuk tes wawasan kebangsaan simak lebih lanjut kasus dengan mengikuti social media kongres hukum aksara informasi lebih lanjut instagram kongreshukumaksara line qbvlh,1.0,0.0,0.0
mantan wakil ketua dewan perwakilan rakyat dpr azis syamsuddin disinyalir mempunyai orang kenalan kpk orang ini diduga digerakkan azis membantu penanganan sebuah perkara ini diungkap dlm sebuah bap wali kota tanjungbalai nonaktif m syahrial,0.0,1.0,0.0
mohmahfudmd tidak benar outputnya kpk jadi sangat lemah prof anda mendiamkan proses tersebut,0.0,0.0,1.0
ferdinandhaean kpkri dprri bego mesti konsisten teguh pendirian,0.0,0.0,1.0
detikcom apa gak takut teman kang azis proteskarena sudah mati an revisi uu kpk,0.0,0.0,1.0
isu pelemahan kpk relevan,0.0,0.0,1.0
terkait pelemahan kpk lbh bersama koalisi masyarakat sipil adakan sulsel tolakbala,0.0,0.0,1.0
fahrihamzah kpkri kejaksaanri revisi uu kpk melempem,0.0,1.0,0.0
febridiansyah nazaqistsha tatakhoiriyah premis nya si buzzzerp bangsatbangsa seolaholah novel sosok yang sangat super power kpk padahal kita mau memakai nalar yang waras kalau memang novel sebegitu kuat kpk nya sudah menjadi setidak nya wakil ketua ketua kpk,1.0,0.0,0.0
seknasri azizsyamsuddin kpkri polhukamri mohmahfudmd jokowi mrk aktif yang sdh selesai kontrak,0.0,0.0,1.0
jaenudi fadlizon hnurwahid jangan lupa pelemahan kpk hukum tebang pilih kamu talangsari dan kali kita peringati tragedi kudeta pki aksi yang tidak terulang,1.0,0.0,0.0
ferdinandhaean kpkri dprri orang stress,0.0,1.0,0.0
perlu diinvestigasi karena foto diambil pada bersamaan dengan polemik revisi uu kpk akibat dr foto yang diposting medsos tersebut muncu isu taliban kapan bendera tsb di meja penting karena pemilik meja bukan pegawai yang dipecat ada yang perintahkan pemotretan bendera,0.0,1.0,0.0
maspiyuaja kalau kpk bikin kacau lebih baik dipecat untung polri mau menerima disana biar dibina biar ga merasa yang punya kpk kpk semakin kuat mereka,0.0,0.0,1.0
iwankristanto sukatx febridiansyah dennysiregar kpkri nazaqistsha tatakhoiriyah iya betul itu massa hti melakukan unjuk rasa balai kota padaselasa januari menolak renovasi gedung kedutaan besar amerika serikat pun mendesak jokowi waktu unjuk rasa tidak memberikan izin atas renovasi gedung kedutaan besar as tersebut,1.0,0.0,0.0
dynitri abirusyda nurwahidahalz bandarjuaranya ridanulantary wanheartn cahmbanjar arpangeran seruanhl hnurwahid geiszchalifah tofatofaid musniumar reflyhz oposisicerdas maspiyuaja rockygerungrg galamedianews hmsoeharto sbyudhoyono nenowarisman ramlirizal bemsi msaiddidu pakjk nurmantyogatot nazaqistsha kpkri aniesbaswedan agusyudhoyono edhiebaskoro mardanialisera tniad jokowi fadlizon nataliuspigai harisazhar pksejahtera pdemokrat faisalbasri tvonenews demokrattv andiarief krmtroysuryo annisapohan amansur hanumrais panca lisaamartatara kok kayaknya hoaks deh,1.0,0.0,0.0
sering sindir presiden lemah dituduh lemahkan kpk orang lemah kok melemahkan tidak segan menghina presiden profesional koruptor faktanya presiden tidak pernah bantu menteri korupsi diott kini mendesak presiden batalkan pemecatan memang aneh,0.0,0.0,1.0
yang lumpuhkan kpk hatei partai politik dpr oligarki isu dialihkan hatei padahal masalah utamanya pelumpuhan kpk sistematis terstruktur lihainya oligarki mainkan isu tutupi akar persoalan follow ig dakwahsumsel islamhukumteradil,1.0,0.0,0.0
bekas wakil ketua dpr disebut punya orang amankan kasus kpk,0.0,1.0,0.0
hamas bongkar kasus suap azis dpp lppi bukti kpk kuat novel cs,1.0,0.0,0.0
democrazymedia di tes wawasan kebangsaan wawasan kewarasany,1.0,0.0,0.0
fadlizon sisyantik telah lulus tes wawasan kebangsaan twk tidak lulus tes kejiwaan bawa ke ningsih tinampi diruqyag dukun,1.0,0.0,0.0
sautsitinjak teodomina karedokleunca kpkri kejaksaanri setuju,0.0,1.0,0.0
bungfrankz kpkri dprri mprgoid divhumaspolri mohmahfudmd jokowi buktikan negara pemerintah kuat jangan pernah mengangkat anggota mantan kpk yang pecat menjadi asn,1.0,0.0,0.0
ferdinandhaean kpkri dprri maennya kurang jauh bang ferdinandhaean,1.0,0.0,0.0
ini benar kpkri dibubarkan conspiracytheories azizsyamsuddin mohmahfudmd polhukamri dprri,0.0,0.0,1.0
polemik tes wawasan kebangsaan twk berujung pemecatan pegawai komisi pemberantasan korupsi kpk dinilai sebuah kekacauan hal kepemimpinan hukummatikoruptor hukummatikoruptor salamdj,1.0,0.0,0.0
bknmuslimegois abirusyda nurwahidahalz bandarjuaranya ridanulantary wanheartn cahmbanjar arpangeran seruanhl hnurwahid geiszchalifah tofatofaid musniumar reflyhz oposisicerdas maspiyuaja rockygerungrg galamedianews hmsoeharto sbyudhoyono nenowarisman ramlirizal bemsi msaiddidu pakjk nurmantyogatot nazaqistsha kpkri aniesbaswedan agusyudhoyono edhiebaskoro mardanialisera tniad jokowi fadlizon nataliuspigai harisazhar pksejahtera pdemokrat faisalbasri tvonenews demokrattv andiarief krmtroysuryo annisapohan amansur hanumrais panca pancasila hanya memuat sebagian ajaran islam sedang khilafah sistem islam diterapkan kaffah otomatis kalau sistem islam tegak pancasila termasuk diterapkan ayo sekarang sila mana sudah benarbenar diterapkan negeri,1.0,0.0,0.0
chusnulch riyadikelvin jokowi kpkri mohmahfudmd fadjroel kangdede pantas dipecat dr kpk oknum satuan pengamanan,1.0,0.0,0.0
mantan pegawai kpk ungkap isi pertemuan di markas besar polri,0.0,1.0,0.0
novel dan kawan-kawan pilih gabung polri berarti mrk punya tempat untuk berantas korupsi akan perkuat polri polri kuat tentunya kpk tidak dibutuhkan bagus ini,0.0,0.0,1.0
disuruh ambil sikap kepada pegawai kpk jokowi diam bahkan asik makan jagung pisang presiden kok kayak gini modelnya aneh,0.0,1.0,0.0
makin ngotot makin membuktikan posisi sepupu aman artinya kpk gak lemah its that simple gak gaesss mau bikin tebaktebakan berapa ketebalan mukak nb,1.0,0.0,0.0
mantan sekda tanjungbalai yusmada menyebut wakil ketua dpr azis syamsuddin memiliki sejumlah orang kpk mengamankan perkara korupsi,0.0,0.0,1.0
mirip sketsa gedung kpk yang lagi kokoh kuat gambar samar samar,1.0,0.0,0.0
sekretaris daerah sekda tanjungbalai yusmada menyebut wakil ketua dpr faksi partai golkar azis syamsuddin memiliki orang kpk dapat dimanfaatkan pengamanan perkara,0.0,0.0,1.0
mahasiswa sumbar geruduk kantor dprd tolak pelemahan kpk,1.0,0.0,0.0
industries commerce kpk jobs,0.0,0.0,1.0
tes wawasan kebangsaan begini,0.0,1.0,0.0
nazaqistsha febridiansyah lalat sampahnya sedang dibersihkan kpk sekarang semoga kasus sarang burung walet dibuka agar korban keluarga korban mendapat keadilan mantap kpk sekarang wakil ketua dpr diserok,1.0,0.0,0.0
wef zulkiflizaini nomor pelaporan inbudari bulan maret sekarang sdh kali mati lampu bintuni papua barat kota minyak amp gas listrik tidak pernah diperhatikan jokowi pln tvonenews kemenbumn bpplc puspentni erickthohir divhumaspolri kpkri zulkiflizaini,0.0,1.0,0.0
davidwijaya jebakan jokowi kpkri menyebut siap ditempatkan mana asalkan presiden joko widodo jokowi mengakomodir rekomendasi komnas ham ombudsman tes wawasan kebangsaan twk pegawai kpk bermasalah,0.0,0.0,1.0
budisetyarso mungkin pajangan sang jaksa untuk jualan bendera hti dilingkungan kpk,1.0,0.0,0.0
the head of the public relations division of the police inspector general pol raden prabowo argo yuwono sik said that nine representatives of former kpk employees met with the national polices human resources assistant,0.0,1.0,0.0
pak jokowi pecat jaksa kejaksaanri profesional hti yang memecat orang kecil menutupi identitas penyusupannya sbg pns juga mrk yang menutupi perbuatan biadab kpkri,0.0,0.0,1.0
diantyyasmin informasi demo mhs menolak uu cipta karya revisi uu kpk dari dlm kpk yang mrk banyak mundur tetap uu revisi kpk,1.0,0.0,0.0
oktadiantama posindo beacukaiindo kpkri jokowi jumlah total usd sdh termasuk biaya pengiriman barangnya sendiri total usd untuk pasang sepatu setau sya pungutan pajak hitung harga barangnya termasuk ongkos kirim,1.0,0.0,0.0
mantan pimpinan kpkri saut situmorang menyayangkan sikap acuh presiden jokowi nasib pegawai kpk diberhentikan tidak lulus tes wawasan kebangsaan saut mempertanyakan apa menjadi prioritas jokowi ini topnews,0.0,0.0,1.0
bossir msaiddidu setuju pakai bingit istana kepemimpinan jkw sangat lemah tunduk pada partai emak dan oligarki kpk selama th dipimpin firl sangat menyedihkan cuma dapat hitungan jari kasus korupsi bahkan yang buron tahunan reformasidikorupsi,0.0,0.0,1.0
psiid partaiantikorupsi kenapa dukung revisi uu kpkri yang prosesnya mencurigakan subtansinya melemahkan kpk,1.0,0.0,0.0
dynitri abirusyda nurwahidahalz bandarjuaranya ridanulantary wanheartn cahmbanjar arpangeran seruanhl hnurwahid geiszchalifah tofatofaid musniumar reflyhz oposisicerdas maspiyuaja rockygerungrg galamedianews hmsoeharto sbyudhoyono nenowarisman ramlirizal bemsi msaiddidu pakjk nurmantyogatot nazaqistsha kpkri aniesbaswedan agusyudhoyono edhiebaskoro mardanialisera tniad jokowi fadlizon nataliuspigai harisazhar pksejahtera pdemokrat faisalbasri tvonenews demokrattv andiarief krmtroysuryo annisapohan amansur hanumrais panca lisaamartatara kerempeng klemar klemer plonga plongo bodoh apalagi faktanya nyalinya melebihi jenderal yang ono,0.0,1.0,0.0
masyarakat harus bersedih maling uang rakyat remisi atas putusan officialmkri diamini oleh kpkri oalah gusti parongono kuat indonesia sekarat banyaknya maling uang rakyat,0.0,1.0,0.0
anggota komisi iii dpr ri arsul sani mengapresiasi sikap kapolri jenderal pol listyo sigit prabowo mengungkapkan niat menarik pegawai kpk tidak lolos tes wawasan kebangsaan twk menjadi asn polri,1.0,0.0,0.0
ferdinandhaean kpkri dprri maklum umar chelsea kalah jauh sama umar liverpool sama umar madrid,1.0,0.0,0.0
ferdinandhaean kpkri dprri kalau jadi presiden saudara akan angkat jadi mentri,0.0,1.0,0.0
kpk bersihbersih kabupaten probolinggo kirakira mana ini tempat bakal digeledah kpk,1.0,0.0,0.0
aimanjudakusum peneste okaclio muispebrianto jokowi leonitalestari anakkolong nasdem wibiandrino farhanpenyiar taufikbasari aku pernah bljr sedikit soal behavioral neuroscience bangmmg teknik manipulasi otak sampai jadi keyakinan kinerja otak bisa dijlskan secara ilmiah kaitannya sm reward amp punishment org berharap tidak terpantau kpk sm si manipulator disuruh ritualamp yakin ritualnya berhsl,0.0,1.0,0.0
fsandika anyelirdarlaaa kpkri ferdinandhaean kspgoid divhumaspolri binofficialri polhukamri jokowi,0.0,1.0,0.0
dennysiregar kpkri ayooo kpkri buka tuh identitas mejanya kepasang bendera biar terang benderang eh kayak begini bisa dikomentari pak prof mohmahfudmd menko apa mesti pak jokowi turun tangan,1.0,0.0,0.0
ferdinandhaean kpkri dprri onani,0.0,0.0,1.0
semua pihak mendukung revisi uu kpk punya utang nyawa yusuf amp randi dua antaranya ada nama yang tewas kalangan warga putri,0.0,1.0,0.0
febridiansyah memang sasarannya menyingkirkan orang yang jujur berani melawan korupsi twk kpk firli seperti inspektorat yang bisa melawan koruptorkpk lemah para koruptor tertawa,0.0,0.0,1.0
kok ga malu anggota dpr yang terhormat bisa ditipu sampai m ketipunya klenik apa kpk ga curiga kok segitunya pengen ga kena ott,1.0,0.0,0.0
new partner believes jokowi is siding with kpks employees,1.0,0.0,0.0
albedoshi kalau aku kepala pemerintahannegara maupun daerah maksimal tahun mengurangi korupsi cara pembagian merata mengembalikan kpk institusi swasta khusus mereformasi dprmpr mengembalikan makna demokrasi pancasila sebenarnya srs,0.0,0.0,1.0
claraparhorasan ingat saat presiden jokowi bilang apa hasil tes wawasan kebangsaan pegawai kpk hendaknya menjadi langkah perbaikan kpk baik individu maupun institusi tidak merta dijadika,0.0,0.0,1.0
sulitnya membuka lilitan ular mata satu tubuh kpkri lalu sekarang mulai berjalan normal bukannya jadi pelajaran bahkan polri divhumaspolri merawat ular yang anggap lemah amp sekarat,0.0,0.0,1.0
rizmaya jokowi mohmahfudmd kpkri khilafah negara sdh berakar kpk makanya walaupun pimpinan kpk tegas akan ambruk gempur kilafah dalam,0.0,0.0,1.0
musniumar amat sedih prihatin seorang rektor sebuah universitas yang mendukung orang membuat gaduh negri menggoreng isyu pki mendukung org yang tidak lulus tes wawasan kebangsaan twk mreka adalah pecundang yang berbahaya untuk keutuhan masa depan bangsa,0.0,0.0,1.0
ceritanyapanja rangkayoitam abdinurabdullah diaririady nazaqistsha alham aduh otaknya ga dipake saya cm bahas org yang dipecat adalah penyidik udh sangattt melemahkan kpk ditambah sm sisanya yang org makin lemah kpk gtu brayyy buzzer jokowi makin gabisa diajak ngobrol heran deh panggil seniornya sini,0.0,1.0,0.0
syarman kpkri abrahamsamadd febridiansyah tapi sayangnya harun masiku membuat kpk jadi olokansemoga harun masiku sgra ditangkapdan semua pejbat korupsi sgra dibersihkan bumi pertiwi inidan pmrinta dpr sangat membantu kerja kpk dengan membuat uu pembuktian terbalikhukuman seumur hidup dimiskinkan koruptor,0.0,0.0,1.0
menginjak warga monster berbentuk gurita terlihat mencengkeram sejumlah sektor kehidupan rakyat energi pertanian kebebasan berpendapat kehidupan masyarakat adat pelemahan kpk,0.0,1.0,0.0
anggota komisi iii dpr ri arsul sani mengapresiasi sikap kapolri jenderal pol listyo sigit prabowo mengungkapkan niat menarik pegawai kpk tidak lolos tes wawasan kebangsaan twk menjadi asn polri,0.0,1.0,0.0
kpk mengakui rilis ti mengatakan mendorong rekomendasi pentingnya penguatan peran fungsi lembaga pengawas salah satunya dengan mendorong pemberdayaan aparatur pengawas intern pemerintah apip,0.0,0.0,1.0
matinya nalar zaman kegelapan nyata presiden yang berambisi memindahkan ibukota saat utang negara sdh bertumpuk anggota dpr yang habiskan miliaran rupiah untuk biayai ritual kebal ott kpk,0.0,1.0,0.0
anggota komisi iii dpr ri arsul sani mengapresiasi sikap kapolri jenderal pol listyo sigit prabowo mengungkapkan niat menarik pegawai kpk tidak lolos tes wawasan kebangsaan twk menjadi asn polri,1.0,0.0,0.0
oktadiantama posindo beacukaiindo kpkri jokowi membeli pasang usd maaf salah dlm hitungan persentase,0.0,0.0,1.0
intinya apapun tidak sesuai dengan kehendak sang publik hero si novel baswedan para suporternya icw tinggal bilang pelemahan kpk amp pelemahan upaya pemberantasan korupsi padahal barusan terungkap penyidik kpk sendiri terima suap jadi kpk gak suci tuh,0.0,1.0,0.0
moerdianto ferdinandhaean jokowi tahu novel lolos twk kpk kenapa masih ditawari menjadi asn polri jawab dengan ilmiah bukan asal mengap ahli hukum tidak mampu menjawab karena masuk ranah politik,0.0,0.0,1.0
kumparan berawal pidato kenegaraan agustus lalu diikuti revisi uu kpk jadi uu no lalu pemilihan pimpinan yang tidak transparan diakhiri dengan gs twk ditawarkan jadi asn polri sandiwaranya kotor sekali,1.0,0.0,0.0
ferdinandhaean kpkri dprri kalau presiden citanya jadi diktator,0.0,0.0,1.0
jokowi gak mengikuti anjuransarantuntutan bem apa selanjutnya terjadi ingatkan revisi uu kpk wong ndablek otoriter gak mempan sama demo,0.0,1.0,0.0
sirianagde msaiddidu revisi uu kpk situ bikin sekarang riweuh situ pura pura mikir otak otak,0.0,0.0,1.0
usman berpandangan rencana perekrutan pegawai kpk menjadi asn kepolisian menunjukkan pelaksanaan tes wawasan kebangsaan twk valid,1.0,0.0,0.0
ferdinandhaean kinderguy kpkri dprri untungnya tidak kan,0.0,0.0,1.0
ingat saat presiden jokowi bilang apa hasil tes wawasan kebangsaan pegawai kpk hendaknya menjadi langkah perbaikan kpk baik individu maupun institusi tidak merta dijadika,1.0,0.0,0.0
ferdinandhaean kpkri dprri taliban berpihak taliban bukan talibh,0.0,1.0,0.0
kpk hanyalah alat dpr negri wakanda,0.0,0.0,1.0
tidak soal polemik twk mengaitkan upaya presiden jokowi sepakat merevisi uu kpk revisi tersebut dinilai melemahkan posisi kpk meski diklaim memperkuat lembaga antirasuah tiadaharitanparuwet tiadaharitanparuwet,0.0,1.0,0.0
sekda tanjungbalai yusmada menyebut wakil ketua dpr fraksi partai golkar azis syamsuddin memiliki orang kpk dapat dimanfaatkan pengamanan perkara,0.0,1.0,0.0
nazaqistsha kotoran legacy yang baik apa mnetapkan tersabgka bukti yang kuat mengibarkan bndera hti dikantor kpk msih banyak lagi seperti kakak dblang good legacy,0.0,0.0,1.0
cakprak febridiansyah wajarlah wong revisi uu kpk banyak dikritisi bertujuan melemahkan kpk,0.0,0.0,1.0
monyet sebelah kiri otak intelektual belakang pelemahan kpk,1.0,0.0,0.0
tvonenews karniilyas nomor pelaporan inbudari bulan maret sekarang sdh kali mati lampu bintuni papua barat kota minyak amp gas listrik tidak pernah diperhatikan jokowi pln tvonenews kemenbumn bpplc puspentni erickthohir divhumaspolri kpkri zulkiflizaini,0.0,1.0,0.0
koordinator penggerak milenial indonesia pmi m adhiya muzakki mengapresiasi upaya presiden jokowi kapolri bermaksud merekrut pegawai kpkri tidak lulus tes wawasan kebangsaan twk kpk masuk menjadi asn polri,0.0,0.0,1.0
kepala kepolisian ri jenderal listyo sigit prabowo perlu segera menjelaskan detail tawaran rekrutmen mantan pegawai kpk dipecat september lalu dinyatakan gagal tes wawasan kebangsaan twk tempodotco,1.0,0.0,0.0
ichanksrg hardjokondang febridiansyah dennysiregar kpkri nazaqistsha tatakhoiriyah jokowi polri udh punya strategi sendiri keep your friend close but enemy closer,0.0,0.0,1.0
sebagai informasi sebanyak pegawai nonaktif kpk resmi diberhentikan september keputusan pemberhentian hormat pegawai yang tidak lolostes wawasan kebangsaantwk mendapat dukungan masyarakat kan cmwiw,0.0,0.0,1.0
kejadian pemecatan pegawai kpk menjadi sejarah pelemahan pemberantasan korupsi indonesia kpk,0.0,0.0,1.0
politisi pkb minta masalah bendera hti gedung kpk dihentikan lupakan pemimpin kpk berganti,1.0,0.0,0.0
lepathaan same here kpk nowshera,1.0,0.0,0.0
ferdinandhaean kpkri dprri senyumin saja,1.0,0.0,0.0
ferdinandhaean kpkri dprri hehehe bung ferdinand makjleb cuitannya,0.0,0.0,1.0
sebaliknya yang mantan wakil rakyat alias dpr jangan kebanyakan gaya apa gunanya anda sebelumnya punya kekusaan digunakan sebaiknya bahkan ikut menyepakati revisi uu kpk,1.0,0.0,0.0
dpr menilai rencana kapolri listyo sigit merekrut pegawai kpk merupakan jalan tengah korban twk kpk usul bisa terbentur aturan kementerian panrb badan kepegawaian nasional korantempo,0.0,0.0,1.0
cnnindonesia rezim akan dikenang rezim pembunuh kpk via revisi uu twk sdh tidak terbantahkan,0.0,1.0,0.0
dapat sms kpkri semoga kpk makin kuat,1.0,0.0,0.0
kpkri mainlah pelosok papua,0.0,1.0,0.0
mahasiswa sudah dateng berbagai daerah buat demo istana topiknya pelemahan kpk salah satu isi surat tuntutannya selesaikan kasus blbi wkwkkwkk plis boy blbi saja utang bukan ranah kpk salah alamat kalau begitu malu maksimal mah,0.0,1.0,0.0
pertemuan tersebut merupakan perdana pembahasan perekrutan mantan pegawai kpk menjadi asn polri,0.0,1.0,0.0
nazaqistsha itu lulus tes wawasan kebangsaan twk patut dipertanyakan nasionalisme,0.0,1.0,0.0
koordinator penggerak milenial indonesia pmi mengapresiasi upaya presiden jokowi kopolri bermaksud merekrut pegawai kpk tidak lulus tes wawasan kebangsaan twk kpk masuk menjadi asn polri,1.0,0.0,0.0
twk test wawasan kebangsaan test wawasan kemuhammadiyahan,1.0,0.0,0.0
diundang polri mantan pegawai kpk apresiasi niat kapolri kapolri menuturkan usulan pun disetujui presiden joko widodo jokowi surat balasan dikirim kementerian sekretariat negara kemensesneg september,1.0,0.0,0.0
aameen ameen punjab sindh kpk balochistan gilgitbaltistan kashmir pakistan islamabad lahore karachi rawalpindi quetta peshawar date calender,1.0,0.0,0.0
denny siregar pak jokowi mantan satuan pengamanan kpk lewat youtube jokowi divhumaspolri mohmahfudmd kpkri ansorsatu yaqutcqoumas,1.0,0.0,0.0
glknku kspgoid jokowi handoko dprri kpkri no radikul cuman mengingatkan dg cadaas,1.0,0.0,0.0
ketumprodemnew putrawadapi jokowi erickthohir kpkri kalau emang merekamana brani bongkarsudah lah,0.0,1.0,0.0
victoripangkey febridiansyah baca berita saja om kan sdh dijawab klasifikasi rahasia uu nya berita tuh om yang jujur justru yang tms kemarin menjawab apa pertanyaanx diluar yang sdh sebut media misalnya revisi uu kpk pimpinan terpilih,1.0,0.0,0.0
ferdinandhaean kpkri dprri gak salah sih yang milih pansel nya kan presiden om,1.0,0.0,0.0
ferdinandhaean kpkri dprri sdh ketakar isi otakmu ferbenar yang bertanya sama mu,1.0,0.0,0.0
dipoalam jokowi kpkri kejaksaanri dprri kemenkomarves ga bertidak,0.0,0.0,1.0
kompastv setuju pakai bingit istana kepemimpinan jkw sangat lemah tunduk pada partai emak dan oligarki kpk selama th dipimpin firl sangat menyedihkan cuma dapat hitungan jari kasus korupsi bahkan yang buron tahunan reformasidikorupsi,0.0,1.0,0.0
densus terlalu berlebihan lah tidak taliban tidak apapun kalau engga lulus yaa engga lulus saja gausah alesan kpk lemah kpk lemah kan apapun kebar nya apapun keputusan nya semoga itu keputusan terbaik tidak perlu bikin rusuh sana sini deh,1.0,0.0,0.0
